countryOfSale,label,product,uri,upc,ean,isrc,title,author,composer,album,quantity,revenueTotal
DE,Rocking Records!,A,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,8,0.01000246371
GB,Rocking Records!,PDIB,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,1,0.008670005946
CL,Rocking Records!,A,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,2,0.0002503585965
DE,Rocking Records!,PDS,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,4,0.01093258679
MX,Rocking Records!,FAM6,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,3,0.003746014609
MX,Rocking Records!,A,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,1,0.0004678242659
IT,Rocking Records!,A,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,2,0.001042593057
IT,Rocking Records!,P,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,4,0.02911557658
US,Rocking Records!,PDS,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,1,0.002506359256
US,Rocking Records!,FAM6,spotify:track:0005ucELVAjPuvKNsqR1XE,4250137264165,,DEOK41100074,Struggles of a Working Man,Joker Face,Julian Paul Wörndle,On the Road Again,2,0.006513320906
