Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
11/05/2017	12/02/2017		ATK430405801	ATK430405801	1	1.29	1.29	AUD	S	47523803	Seelenluft	Pleasure Boy	klein records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH260404806	DEH260404806	2	1.29	2.58	AUD	S	48316236	Carl Douglas	Kung Fu Fighting	Echo Beach		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH260404807	DEH260404807	1	1.29	1.29	AUD	S	48316238	Carl Douglas	Kung Fu Fighting	Echo Beach		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH260404815	DEH260404815	1	1.29	1.29	AUD	S	48316586	Carl Douglas	Kung Fu Fighting	Echo Beach		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEH260404815	DEH260404815	2	1.29	2.58	AUD	S	48316586	Carl Douglas	Kung Fu Fighting	Echo Beach		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEAK80500001	DEAK80500001	1	1.29	1.29	AUD	S	48468297	Kettcar	Deiche	Grand Hotel Van Cleef		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEAK80500008	DEAK80500008	1	1.29	1.29	AUD	S	48468796	Kettcar	Anders als gedacht	Grand Hotel Van Cleef		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW250100600	DEW250100600	1	1.29	1.29	AUD	S	49294980	Rhythm & Sound	No Partial	Rhythm & Sound		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEU380300007	DEU380300007	1	1.29	1.29	AUD	S	49473497	Saafi Brothers	Metapop	Le Mar Production		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW250500427	DEW250500427	1	1.29	1.29	AUD	S	52995566	Rhythm & Sound	Dem Never Know	Burial Mix		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW250500429	DEW250500429	1	1.29	1.29	AUD	S	52995892	Rhythm & Sound	Truly	Burial Mix		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW250500434	DEW250500434	1	1.29	1.29	AUD	S	52996493	Rhythm & Sound	Let We Go	Burial Mix		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEW250500436	DEW250500436	1	1.29	1.29	AUD	S	52996814	Rhythm & Sound	See Mi Version	Burial Mix		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650510069	DEZ650510069	1	1.29	1.29	AUD	S	58315850	Bubble J.	Time Don't Fool	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650510071	DEZ650510071	1	1.29	1.29	AUD	S	58315998	Bubble J.	Do What Ever U Want	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650510048	DEZ650510048	-1	1.29	-1.29	AUD	R	58316276	N.Y.City Beats	Bakerstreet	Manifold Records		H		AU		CMA-C	-2.19	AUD
11/05/2017	12/02/2017		DEZ650510048	DEZ650510048	1	1.29	1.29	AUD	S	58316276	N.Y.City Beats	Bakerstreet	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650510062	DEZ650510062	1	1.29	1.29	AUD	S	58316714	Cutmaster	Famous Freestyle Cuts	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650510063	DEZ650510063	1	1.29	1.29	AUD	S	58316737	Cutmaster	Famous Freestyle Cuts 2	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017	0090204932832		0090204932832	1	10.99	10.99	AUD	S	58316807	Various Artists	Freestyle 80'S	Manifold Records		I		AU		CMA	18.99	AUD
11/05/2017	12/02/2017		DEZ650510214	DEZ650510214	1	1.29	1.29	AUD	S	58323995	Islands of Chill	Bali Chill Groove	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650510214	DEZ650510214	1	1.29	1.29	AUD	S	58323995	Islands of Chill	Bali Chill Groove	Manifold Records		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEZ650510215	DEZ650510215	1	1.29	1.29	AUD	S	58324212	Islands of Chill	Mykonos Sundown Feelings	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017	0090204935642		0090204935642	1	10.99	10.99	AUD	S	58325849	Various Artists	Islands of Chill - A Smooth Breeze of Relaxing Sounds of World's Most Famous Beaches	Manifold Records		I		AU			18.99	AUD
11/05/2017	12/02/2017		DEZ650510272	DEZ650510272	1	1.29	1.29	AUD	S	58340236	Airstream	Electra	Manifold Records		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEZ650510272	DEZ650510272	1	1.29	1.29	AUD	S	58340236	Airstream	Electra	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650510419	DEZ650510419	1	1.29	1.29	AUD	S	58359489	ACM	Elements of Trance	Manifold Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEU330500048	DEU330500048	1	1.29	1.29	AUD	S	68775442	Fanfare Ciocărlia	007 (James Bond Theme)	Asphalt Tango Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEU330500062	DEU330500062	1	1.29	1.29	AUD	S	68776673	Fanfare Ciocărlia	Rumba de la Lasi	Asphalt Tango Records		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEH269820401	DEH269820401	1	1.29	1.29	AUD	S	70733406	Ruts DC, Mad Professor	Whatever We Do	Select Cuts		H		AU			2.19	AUD
