Start Date	10/01/2017
End Date	11/04/2017
Report Type	Apple Music
Currency	AUD
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	ISRC	Item_Title	Item_Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AU	47296950	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW259500109	Q1.2	Basic Channel	1	1	DEW259500109	0	Basic Channel	
AU	47523983	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	ATK430405101	You Come Along	Seelenluft	1	1	ATK430405101	0	klein records	
AU	48316210	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEH260404801	Kung Fu Fighting	Carl Douglas	1	1	DEH260404801	0	Echo Beach	
AU	48316236	Indirect Individual Monthly EXTENDED TRIAL	25	.021330	.533250	DEH260404806	Kung Fu Fighting	Carl Douglas	1	1	DEH260404806	0	Echo Beach	
AU	48316375	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEH260404809	Kung Fu Fighting	Carl Douglas	1	1	DEH260404809	0	Echo Beach	
AU	49294215	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEW259900304	New Day Dub	Round Two	1	1	DEW259900304	0	Main Street	
AU	49294980	Indirect Individual Monthly EXTENDED TRIAL	4	.021330	.085320	DEW250100600	No Partial	Rhythm & Sound	1	1	DEW250100600	0	Rhythm & Sound	
AU	49472857	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEU380300002	Green Cloud	Saafi Brothers	1	1	DEU380300002	0	Le Mar Production	
AU	49473051	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEU380300003	Seven Horizons	Saafi Brothers	1	1	DEU380300003	0	Le Mar Production	
AU	49473980	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEU380300009	Lovin` Music	Saafi Brothers	1	1	DEU380300009	0	Le Mar Production	
AU	49473982	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEU380300010	Metapop (feat. Dea Li)	Saafi Brothers	1	1	DEU380300010	0	Le Mar Production	
AU	58302383	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650509912	Sun and Water	Floating Clouds	1	1	DEZ650509912	0	Manifold Records	
AU	58323683	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEZ650510212	Wellness Feeling @ St. tropez	Islands of Chill	1	1	DEZ650510212	0	Manifold Records	
AU	58323850	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEZ650510213	Ibiza Sun (Get Down)	Islands of Chill	1	1	DEZ650510213	0	Manifold Records	
AU	58323995	Indirect Individual Monthly EXTENDED TRIAL	4	.021330	.085320	DEZ650510214	Bali Chill Groove	Islands of Chill	1	1	DEZ650510214	0	Manifold Records	
AU	58324212	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEZ650510215	Mykonos Sundown Feelings	Islands of Chill	1	1	DEZ650510215	0	Manifold Records	
AU	58324427	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEZ650510216	Da Sun Is Gone @ Copa Copana	Islands of Chill	1	1	DEZ650510216	0	Manifold Records	
AU	58324768	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEZ650510217	Rimini Chill (Lost In Paradise)	Islands of Chill	1	1	DEZ650510217	0	Manifold Records	
AU	58324971	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEZ650510218	Relaxing Hawaii (Sun and Water)	Islands of Chill	1	1	DEZ650510218	0	Manifold Records	
AU	58325139	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEZ650510219	Goa Jam (Indian Summer)	Islands of Chill	1	1	DEZ650510219	0	Manifold Records	
AU	58325357	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEZ650510220	Koh Phagan (Time of Passion)	Islands of Chill	1	1	DEZ650510220	0	Manifold Records	
AU	58325573	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEZ650510221	Gran Canaria Sunset Session	Islands of Chill	1	1	DEZ650510221	0	Manifold Records	
AU	58325734	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEZ650510222	Mauritius I C U Again	Islands of Chill	1	1	DEZ650510222	0	Manifold Records	
AU	58325791	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEZ650510223	Isla Margerita	Islands of Chill	1	1	DEZ650510223	0	Manifold Records	
AU	58383522	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650510292	La Guitarra	In Credo	1	1	DEZ650510292	0	Manifold Records	
AU	74532669	Indirect Individual Monthly EXTENDED TRIAL	7	.021330	.149310	DEF550000573	New Bibi-Hendl (Rap)	Takeo Ischi	1	1	DEF550000573	0	Rubin Records	
AU	81656683	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBEEK0400086	Sunshine	Verna Francis	1	1	GBEEK0400086	0	Chillifunk	
AU	81998961	Indirect Individual Monthly EXTENDED TRIAL	14	.021330	.298620	DEW250201003	Stranger	Love Joys	1	1	DEW250201003	0	Wackies	
AU	81999489	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEW250201058	Feel It Dub	Wackies	1	1	DEW250201058	0	Wackies	
AU	81999710	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEW250201067	Good Thing Going	Sugar Minott	1	1	DEW250201067	0	Wackies	
AU	82001368	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250301127	Wackie Rock Tune	Wackies	1	1	DEW250301127	0	Wackies	
AU	82002706	Indirect Individual Monthly EXTENDED TRIAL	15	.021330	.319950	DEW250401168	Brimstone & Fire	Wayne Jarrett	1	1	DEW250401168	0	Wackies	
AU	82003051	Indirect Individual Monthly EXTENDED TRIAL	12	.021330	.255960	DEW250501204	International Herb	Sugar Minott	1	1	DEW250501204	0	Wackies	
AU	82003506	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEW250501221	Tribesman Dub	Prince Douglas	1	1	DEW250501221	0	Wackies	
