Format version	Start date	End date	Sender	Recipient	Disclaimer
2	2017-10-01	2017-10-31	Spotify	Finetunes	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
DE	Rocking Records!	A	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	8	0.01000246370629471467011063892
GB	Rocking Records!	PDIB	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.008670005946462820487961426107
CL	Rocking Records!	A	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	2	0.0002503585965471062832417870324
DE	Rocking Records!	PDS	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	4	0.01093258678715807198805858448
MX	Rocking Records!	FAM6	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	3	0.003746014609404138076860253872
MX	Rocking Records!	A	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.0004678242659278271143957950492
IT	Rocking Records!	A	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	2	0.001042593056903768913191366185
IT	Rocking Records!	P	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	4	0.02911557658056043369873029493
US	Rocking Records!	PDS	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.002506359256414720907458318733
US	Rocking Records!	FAM6	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	2	0.006513320906234310826869768316
IT	Rocking Records!	FAM6	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	10	0.03172932588146550650430921520
DE	Rocking Records!	FAM6	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	25	0.07841979665487484263420477820
DE	Rocking Records!	P	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	7	0.04171890063020695848690840556
GB	Rocking Records!	FAM6	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.004609352522950591771715222176
CH	Rocking Records!	A	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.0004003747021287006485887966900
US	Rocking Records!	A	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.001978838712815684140125817872
US	Rocking Records!	P	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.005935591493548806142359005346
AR	Rocking Records!	P	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.003320769117124021494534452265
ES	Rocking Records!	FAM6	spotify:track:0005ucELVAjPuvKNsqR1XE	4250137264165		DEOK41100074	Struggles of a Working Man	Joker Face	Julian Paul Wörndle	On the Road Again	1	0.003123336693604147887623819052
